Molecule ChEMBL ID,Molecule Name,Molecular Weight,#RO5 Violations,AlogP,Smiles,Standard Value,Standard Units,pChEMBL Value,Value
CHEMBL363768,,449.55,0,4.69,COc1ccccc1CC1CCN([C@H]2CC[C@]3(CC2)OC(=O)c2c4c(ccc23)OCO4)CC1,150,nM,6.82,150
CHEMBL434728,,463.57,0,4.73,COc1ccccc1CC1CCN([C@H]2CC[C@]3(CC2)OC(=O)c2c4c(ccc23)OCCO4)CC1,59,nM,7.23,59
CHEMBL607431,,401.45,0,4.1,COC(=O)[C@@H]1[C@H]2CCC(C[C@H]1OC(c1ccc(F)cc1)c1ccc(F)cc1)N2C,1830,nM,5.74,1830
CHEMBL607377,,401.45,0,4.1,COC(=O)C1C2CC[C@H](C[C@H]1OC(c1ccc(F)cc1)c1ccc(F)cc1)N2C,1980,nM,5.7,1980
CHEMBL367408,,269.39,0,3.53,C=Cc1ccc([C@H]2CC3CCC(N3)[C@H]2C(=O)CC)cc1,0.32,nM,9.49,0.32
CHEMBL1641622,,293.2,0,4.01,N[C@H]1Cc2ccccc2N(c2ccc(Cl)c(Cl)c2)C1,2400,nM,5.62,2400
CHEMBL270642,,263.38,0,2.99,CO[C@]1(c2cccc(O)c2)CCCC[C@@H]1CN(C)C,10000,nM,5,10000
CHEMBL249331,,211.31,0,3.16,CNCC1CC1c1ccc2ccccc2c1,52,nM,7.28,52
CHEMBL399147,,225.34,0,3.5,CN(C)CC1CC1c1cccc2ccccc12,18,nM,7.75,18
CHEMBL399147,,225.34,0,3.5,CN(C)CC1CC1c1cccc2ccccc12,15,nM,7.82,15
